Lexeme	POS	LSC	frequency SdeWaC	frequency Cook
Schnee	NN	-1.05	2228	53
Strudel	NN	-1.05	232	46
schlagen	VV	-1.1	14693	309
Gericht	NN	-1.15	13263	1071
Schuß	NN	-1.4166666667	2153	117
Hamburger	NN	-1.5294117647	5558	46
abschrecken	VV	-1.75	730	170
Form	NN	-2.25	36639	851
trennen	VV	-2.65	5771	170
Glas	NN	-2.7	3830	863
Blech	NN	-2.95	409	145
Prise	NN	-3.1	370	622
Paprika	NN	-3.3333333333	377	453
Mandel	NN	-3.4473684211	402	274
Messer	NN	-3.5	1774	925
Rum	NN	-3.55	244	181
Salz	NN	-3.7368421053	3087	5806
Eiweiß	NN	-3.75	1075	3037
Schokolade	NN	-3.975	947	251
Gemüse	NN	-4	2696	1224
Schnittlauch	NN	-4	156	247
